DisseminationArea,Primary Cluster,Secondary Cluster
35204674,B,1
35204675,B,1
35204676,D,2
35204678,C,2
35204679,A,2
35204680,D,1
35204681,B,1
35204682,D,1
35204683,C,2
35204684,D,1
35204685,C,2
35204686,C,1
35204687,C,2
35204688,D,2
35204689,C,3
35204690,D,2
35204691,C,3
35204692,D,1
35204693,C,2
35204694,D,2
35204695,D,1
35204696,C,4
35204697,C,3
35204698,C,3
35204699,C,3
35204700,C,3
35204701,B,3
35204704,D,2
35204705,B,2
35204707,A,3
35204708,B,2
35204709,D,1
35204710,C,4
35204711,C,1
35204712,C,1
35204714,C,1
35204715,C,1
35204716,C,1
35204717,C,1
35204718,C,1
35204719,C,1
35204720,C,1
35204721,C,1
35204722,C,1
35204723,C,1
35204725,C,4
35204726,C,1
35204727,C,1
35204728,B,2
35204729,C,1
35204730,C,1
35204731,C,1
35204732,C,1
35204733,C,4
35204734,A,2
35204735,A,2
35204736,C,4
35204737,C,2
35204738,A,3
35204739,B,2
35204740,A,1
35204741,B,2
35204742,A,1
35204743,C,4
35204744,C,4
35204745,C,1
35204746,C,4
35204747,C,1
35204748,D,2
35204749,D,2
35204750,D,1
35204751,B,1
35204752,B,1
35204753,B,1
35204754,A,3
35204755,A,3
35204756,D,1
35204757,B,1
35204758,A,3
35204759,B,2
35204760,C,4
35204761,B,1
35204762,C,2
35204763,A,3
35204764,D,1
35204765,A,1
35204766,C,2
35204767,A,1
35204768,C,3
35204769,C,1
35204770,C,1
35204771,C,1
35204772,A,1
35204773,A,1
35204774,C,3
35204775,A,1
35204776,C,3
35204777,A,3
35204778,B,2
35204779,B,2
35204780,B,2
35204781,C,3
35204782,A,1
35204783,B,3
35204784,B,3
35204785,A,1
35204786,C,1
35204787,B,2
35204788,C,1
35204789,C,3
35204790,A,1
35204791,C,4
35204793,D,2
35204794,A,3
35204795,A,1
35204796,A,1
35204797,A,1
35204798,C,1
35204799,A,3
35204800,B,3
35204801,C,3
35204802,A,1
35204803,A,1
35204805,C,1
35204806,C,4
35204807,A,1
35204808,A,1
35204809,C,3
35204810,C,1
35204811,A,1
35204812,A,1
35204813,A,3
35204814,A,3
35204815,A,3
35204816,A,3
35204817,A,3
35204819,D,2
35204820,D,2
35204821,D,2
35204822,A,3
35204823,D,2
35204824,A,3
35204825,D,2
35204826,D,2
35204827,D,2
35204828,A,3
35204829,A,3
35204830,A,3
35204831,A,3
35204832,D,2
35204833,A,3
35204835,C,1
35204836,C,1
35204837,C,1
35204838,A,1
35204839,A,1
35204840,C,3
35204841,D,2
35204842,D,2
35204843,D,2
35204844,D,2
35204845,D,2
35204846,A,3
35204847,A,3
35204848,A,3
35204850,A,3
35204851,A,1
35204852,A,1
35204853,B,2
35204854,B,3
35204855,B,1
35204856,A,3
35204857,D,2
35204858,A,3
35204859,A,1
35204860,B,3
35204861,D,2
35204862,A,1
35204863,A,3
35204864,B,3
35204865,A,3
35204866,D,1
35204867,A,2
35204869,B,1
35204870,D,2
35204871,D,2
35204872,A,3
35204873,D,2
35204876,A,1
35204877,A,1
35204878,B,3
35204879,A,3
35204880,D,2
35204881,A,2
35204882,D,2
35204883,D,2
35204884,B,2
35204885,A,3
35204886,C,3
35204887,C,2
35204888,A,2
35204889,D,1
35204890,C,4
35204891,D,2
35204892,B,3
35204893,B,3
35204894,D,2
35204895,D,2
35204896,D,2
35204897,D,2
35204898,D,2
35204899,B,3
35204900,D,2
35204901,D,2
35204902,D,2
35204903,D,2
35204904,A,3
35204905,D,2
35204906,C,3
