DisseminationArea,Primary Cluster,Secondary Cluster
35201326,D,1
35201327,D,1
35201328,D,1
35201329,A,2
35201331,D,1
35201332,D,1
35201333,D,1
35201334,C,3
35201337,C,3
35201338,C,3
35201339,D,1
35201347,D,1
35201348,B,1
35201349,B,1
35201350,D,1
35201351,D,1
35201352,D,1
35201353,B,1
35201354,B,1
35201355,D,1
35201356,D,1
35201357,D,1
35201358,A,2
35201359,D,1
35201360,D,1
35201361,A,2
35201362,D,2
35201363,B,1
35201364,D,1
35201365,D,1
35201368,B,1
35201369,D,1
35201370,B,1
35201371,D,1
35201372,D,1
35201373,B,1
35201374,D,1
35201375,B,1
35201376,A,2
35201377,D,1
35201378,D,1
35201379,A,2
35201380,D,1
35201381,C,2
35201383,B,1
35201384,C,2
35201387,C,4
35201388,C,2
35201389,C,2
35201390,C,2
35201391,C,2
35201393,C,2
35201394,C,2
35201395,C,2
35201396,C,3
35201397,C,2
35201398,C,2
35201399,D,1
35201400,A,2
35201401,D,1
35201402,D,1
35201403,A,2
35201404,D,1
35201405,D,1
35201406,D,1
35201407,D,1
35201408,D,1
35201409,D,1
35201410,A,2
35201411,D,1
35201412,D,1
35201413,D,1
35201414,B,1
35201415,D,1
35201416,A,2
35201417,D,1
35201418,D,1
35201419,D,1
35201420,D,1
35201421,D,1
35201422,D,1
35201423,D,1
35201426,D,1
35201427,D,1
35201428,A,2
35201429,A,2
35201430,D,1
35201431,D,1
35201432,D,1
35201433,D,1
35201434,D,1
35201435,A,2
35201436,D,1
35201437,D,1
35201438,D,1
35201439,D,1
35201440,D,1
35201441,D,1
35201442,D,1
35201443,D,1
35201444,D,1
35201445,D,1
35201446,D,1
35201447,A,2
35201448,D,1
35201449,D,1
35201450,A,2
35201451,D,1
35201452,D,2
35201453,D,2
35201459,A,2
35201460,D,1
35201461,B,3
35201463,A,3
35201464,C,3
35201466,D,1
35201467,D,1
35201468,A,2
35201469,D,2
35201471,A,2
35201477,B,1
35201478,B,1
35201479,B,1
35201480,B,1
35201481,D,1
35201482,D,1
35201483,B,1
35201485,D,1
35201486,B,1
35201487,B,3
35201488,B,1
35201489,B,3
35201490,B,3
35201491,D,1
35201492,B,1
35201493,B,1
35201494,B,1
35201495,B,3
35201496,B,1
35201497,B,1
35201498,B,3
35201499,B,3
35201500,B,3
35201501,B,3
35201502,B,3
35201503,B,3
35201504,B,3
35201505,B,3
35201506,B,3
35201507,B,1
35201508,B,3
35201509,B,3
35201510,B,3
35201511,B,3
35201512,B,3
35201513,B,1
35201514,B,1
35201515,B,1
35201516,B,1
35201517,B,1
35201518,B,1
35201519,C,4
35201520,C,4
35201521,D,1
35201522,C,2
35201523,D,1
35201524,B,1
35201525,C,4
35201526,C,4
35201532,C,1
35201541,B,1
35201542,B,1
35201543,A,2
35201544,A,2
35201545,D,1
35201547,B,1
35201548,C,4
35201552,A,2
35201553,A,1
35201554,B,1
35201555,B,1
35201556,D,1
35201557,A,2
35201558,B,1
35201559,C,3
35201560,C,4
35201563,D,1
35201564,C,4
35201565,C,2
35201566,C,2
35201567,C,4
35201568,D,1
35201569,C,2
35201570,D,1
35201571,B,1
35201572,C,2
35201573,C,3
35201574,D,1
35201575,A,3
35201576,C,4
35201577,B,1
35201578,D,1
35201579,C,3
35201580,B,1
35201581,C,3
35201582,B,1
35201583,B,1
35201584,A,1
35201585,A,2
35201586,A,1
35201587,B,1
35201588,C,4
35201589,C,1
35201590,C,4
35201591,B,1
35201592,B,1
35201593,C,4
35201594,C,1
35201595,C,4
35201596,B,1
35201597,C,4
35201598,B,1
35201599,B,1
35201600,C,3
35201601,C,3
35201602,B,1
35201603,A,1
35201604,B,3
35201605,B,1
35201607,C,4
35201608,B,3
35201609,B,2
35201610,A,3
35201611,B,3
35201612,B,3
35201613,D,1
35201614,A,3
35201615,B,3
35201616,B,3
35201617,A,2
35201620,C,4
35201621,A,1
35201622,B,3
35201623,A,1
35201624,B,2
35201625,B,1
35201626,B,1
35201627,C,4
35201629,B,1
35201630,B,1
35201631,C,2
35201632,B,1
35201634,B,1
35201635,B,1
35201636,B,1
35201641,C,3
35201647,B,2
35201648,B,3
35201649,B,1
35201650,B,1
35201652,B,1
35201653,B,1
35201654,B,3
35201656,D,1
35201657,B,1
35201658,B,1
35201659,B,1
35201660,B,3
35201661,B,1
35201662,B,1
35201663,D,2
35201664,D,1
35201665,B,2
35201666,B,1
35201667,D,1
35201670,C,1
35201672,C,2
35201673,C,2
35201674,D,1
35201675,B,1
35201676,B,1
35201690,B,1
35201691,B,3
35201692,B,1
35201693,B,3
35201694,D,1
35201695,D,1
35201696,B,1
35201697,B,3
35201698,A,2
35201699,B,3
35201700,B,1
35201701,B,3
35201702,B,3
35201703,B,3
35201704,B,3
35201705,B,1
35201706,B,3
35201707,B,3
35201708,B,3
35201709,B,3
35201710,B,3
35201711,B,3
35201712,B,3
35201713,B,3
35201714,A,1
35201717,C,3
35201718,B,3
35201719,B,1
35201720,C,4
35201721,C,3
35201722,C,3
35201723,C,2
35201724,C,1
35201725,C,3
35201726,C,1
35201728,C,3
35201730,B,3
35201731,B,1
35201732,C,4
35201734,B,3
35201735,C,3
35201736,A,1
35201737,C,4
35201738,B,1
35201739,B,3
35201740,B,3
35201741,B,3
35201744,C,3
35201748,C,3
35201749,B,1
35201750,B,1
35201751,B,3
35201752,B,1
35201753,B,1
35201754,B,1
35201755,B,1
35201756,B,1
35201757,B,1
35201758,B,1
35201759,B,1
35201760,B,1
35201761,B,2
35201762,B,3
35201779,A,1
35201781,C,2
35201782,B,1
35201783,C,1
35201784,C,1
35201785,C,3
35201786,B,1
35201787,B,1
35201788,C,4
35201789,C,3
35201790,C,1
35201791,A,1
35201792,C,4
35201793,B,2
35201802,B,2
35201803,B,3
35201804,B,3
35201805,B,3
35201806,B,3
35201807,B,1
35201816,C,1
35201817,C,4
35201818,C,2
35201819,C,4
35201820,A,1
35201821,C,3
35201822,C,3
35201823,A,1
35201824,C,2
35201825,C,4
35201826,A,1
35201827,C,2
35201828,C,2
35201829,C,2
35201830,C,4
35201831,B,1
35201832,C,4
35201833,C,1
35201834,C,4
35201835,C,3
35201838,C,3
35201839,C,1
35201840,C,4
35201841,C,3
35201842,C,1
35201843,C,2
35201844,C,4
35201845,C,2
35201846,C,4
35201847,C,1
35201848,C,4
35201849,C,1
35201850,C,1
35201851,A,1
35201852,C,2
35201853,C,3
35201854,C,3
35201855,C,2
35201856,C,3
35201857,A,1
35201858,C,4
35201859,C,1
35201860,C,4
35201861,C,1
35201862,C,4
35201863,C,3
35201864,C,1
35201868,C,2
35201869,C,2
35201872,C,4
35201874,C,3
35201875,C,3
35201876,A,1
35201877,C,2
35201879,A,1
35201880,C,1
35201881,C,2
35201882,C,2
35201883,C,3
35201884,C,2
35201885,C,3
35201886,C,2
35201887,C,2
35201888,C,3
35201889,C,2
35201890,C,4
35201892,C,3
35201893,C,4
35201894,C,2
35201895,C,2
35201896,C,2
35201900,C,4
35201901,C,2
35201902,C,2
35201903,C,2
35201904,C,2
35201905,C,2
35201906,C,2
35201907,C,4
35201908,C,2
35201909,B,1
35201912,C,3
35201913,B,1
35201914,C,2
35201915,C,4
35201916,C,2
35201917,C,2
35201919,C,4
35201920,C,4
35201935,B,1
35201936,B,1
35201937,C,4
35201938,C,2
35201939,C,4
35201940,B,1
35201950,B,1
35201951,B,1
35201952,B,1
35201953,C,2
35201955,C,2
35201958,C,4
35201959,C,2
35201960,C,3
35201961,C,2
35201962,C,2
35201963,C,2
35201964,C,2
35201965,C,2
35201966,C,2
35201967,B,3
35201968,C,2
35201969,C,2
35201970,C,2
35201971,C,2
35201972,A,1
35201973,C,4
35201976,C,2
35201977,C,3
35201979,C,2
35201983,C,2
35201984,C,3
35201985,C,2
35201986,C,2
35201987,C,2
35201988,C,2
35201989,A,1
35201992,C,2
35201993,C,1
35201996,C,2
35201997,C,2
35201998,C,2
35201999,C,3
35202000,C,2
35202001,C,3
35202002,C,2
35202003,C,3
35202004,C,4
35202005,C,2
35202006,C,2
35202007,C,4
35202013,C,4
35202016,A,1
35202017,A,1
35202018,C,3
35202019,A,1
35202020,C,2
35202021,C,3
35202022,C,2
35202023,C,3
35202024,A,1
35202025,C,2
35202026,C,2
35202027,C,1
35202028,B,2
35202029,A,1
35202030,A,1
35202031,C,2
35202035,C,3
35202036,C,3
35202037,C,4
35202040,A,1
35202042,C,3
35202045,C,3
35202046,C,3
35202047,C,2
35202048,C,2
35202049,C,2
35202050,C,3
35202051,C,3
35202055,C,3
35202056,C,2
35202057,C,2
35202058,C,2
35202059,C,2
35202065,C,3
35202066,C,2
35202067,A,1
35202071,C,2
35202072,C,2
35202075,C,2
35202078,C,2
35202079,C,2
35202080,C,4
35202084,C,2
35202085,A,1
35202086,A,1
35202087,C,4
35202088,C,4
35202089,C,2
35202090,C,2
35202091,C,2
35202094,C,2
35202096,C,3
35202097,C,3
35202098,D,2
35202100,B,1
35202101,B,1
35202102,C,2
35202103,C,3
35202104,C,2
35202105,B,1
35202106,B,2
35202107,B,1
35202108,C,3
35202109,C,3
